STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,BASE_PER,Base period,DECIMALS,Decimals,POP_GROUP,Population group
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,COL,Colombia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2021,,8.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,COL,Colombia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2020,,8.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2018,,17.3,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2017,,17.3,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2021,,0.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2020,,0.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2019,,0.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2018,,0.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2017,,0.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2021,,17.3,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
