,primary_country_target,primary_country_partner,Count
79,Argentina,USA,89
77,Argentina,UK,68
27,Argentina,Germany,58
0,Argentina,Australia,42
9,Argentina,Canada,36
26,Argentina,France,36
67,Argentina,Spain,35
12,Argentina,China,34
6,Argentina,Brazil,33
37,Argentina,Italy,28
70,Argentina,Switzerland,28
38,Argentina,Japan,26
11,Argentina,Chile,25
65,Argentina,South Africa,25
43,Argentina,Mexico,24
85,Argentina,the Netherlands,23
13,Argentina,Colombia,18
48,Argentina,Norway,18
32,Argentina,India,17
20,Argentina,Denmark,16
57,Argentina,Russia,16
69,Argentina,Sweden,14
1,Argentina,Austria,13
46,Argentina,New Zealand,13
25,Argentina,Finland,12
42,Argentina,Malaysia,12
3,Argentina,Belgium,11
21,Argentina,Ecuador,11
23,Argentina,Estonia,11
53,Argentina,Poland,10
54,Argentina,Portugal,10
35,Argentina,Ireland,9
66,Argentina,South Korea,9
14,Argentina,Costa Rica,8
16,Argentina,Czech Republic,8
30,Argentina,Hungary,8
36,Argentina,Israel,8
51,Argentina,Peru,8
62,Argentina,Singapore,8
33,Argentina,Indonesia,7
34,Argentina,Iran,7
60,Argentina,Serbia,7
4,Argentina,Bolivia,6
8,Argentina,Cameroon,6
50,Argentina,Panama,6
73,Argentina,Thailand,6
76,Argentina,Turkey,6
83,Argentina,Venezuela,6
15,Argentina,Croatia,5
39,Argentina,Kenya,5
45,Argentina,Morocco,5
56,Argentina,Romania,5
84,Argentina,Vietnam,5
7,Argentina,Bulgaria,4
18,Argentina,Côte d'Ivoire,4
49,Argentina,Pakistan,4
58,Argentina,Saudi Arabia,4
63,Argentina,Slovakia,4
68,Argentina,Sri Lanka,4
72,Argentina,Tanzania,4
74,Argentina,The Philippines,4
29,Argentina,Greece,3
40,Argentina,Lithuania,3
44,Argentina,Mongolia,3
55,Argentina,Qatar,3
71,Argentina,Taiwan,3
80,Argentina,Uganda,3
81,Argentina,Ukraine,3
82,Argentina,United Arab Emirates,3
2,Argentina,Bangladesh,2
22,Argentina,Egypt,2
24,Argentina,Ethiopia,2
31,Argentina,Iceland,2
52,Argentina,Philippines,2
64,Argentina,Slovenia,2
75,Argentina,Tunisia,2
5,Argentina,Botswana,1
10,Argentina,Center for Astrophysics,1
17,Argentina,Czechia,1
19,Argentina,Democratic Republic of the Congo,1
28,Argentina,Germany [],1
41,Argentina,Luxembourg,1
47,Argentina,Nigeria,1
59,Argentina,Senegal,1
61,Argentina,Sierra Leone,1
78,Argentina,US,1
177,Australia,USA,743
174,Australia,UK,482
115,Australia,Germany,358
98,Australia,China,269
112,Australia,France,243
95,Australia,Canada,230
183,Australia,the Netherlands,181
166,Australia,Switzerland,170
128,Australia,Japan,169
163,Australia,Spain,166
127,Australia,Italy,136
165,Australia,Sweden,132
106,Australia,Denmark,127
87,Australia,Austria,84
89,Australia,Belgium,80
141,Australia,Norway,74
161,Australia,South Africa,74
111,Australia,Finland,73
139,Australia,New Zealand,71
92,Australia,Brazil,66
158,Australia,Singapore,64
122,Australia,India,57
126,Australia,Israel,56
151,Australia,Russia,50
162,Australia,South Korea,50
97,Australia,Chile,49
125,Australia,Ireland,49
86,Australia,Argentina,42
146,Australia,Poland,42
136,Australia,Mexico,38
167,Australia,Taiwan,36
109,Australia,Estonia,34
123,Australia,Indonesia,33
102,Australia,Czech Republic,31
147,Australia,Portugal,31
117,Australia,Greece,29
153,Australia,Saudi Arabia,28
121,Australia,Iceland,27
134,Australia,Malaysia,26
99,Australia,Colombia,25
120,Australia,Hungary,25
172,Australia,Turkey,19
130,Australia,Kenya,18
144,Australia,Peru,18
101,Australia,Croatia,15
145,Australia,Philippines,14
107,Australia,Ecuador,13
148,Australia,Qatar,13
140,Australia,Nigeria,12
150,Australia,Romania,12
169,Australia,Thailand,12
100,Australia,Costa Rica,11
108,Australia,Egypt,11
124,Australia,Iran,11
180,Australia,United Arab Emirates,11
164,Australia,Sri Lanka,10
181,Australia,Venezuela,10
90,Australia,Bolivia,9
138,Australia,Morocco,9
143,Australia,Panama,9
156,Australia,Serbia,9
168,Australia,Tanzania,9
170,Australia,The Philippines,9
182,Australia,Vietnam,9
93,Australia,Bulgaria,8
94,Australia,Cameroon,8
142,Australia,Pakistan,8
179,Australia,Ukraine,8
119,Australia,Hong Kong,7
159,Australia,Slovakia,7
178,Australia,Uganda,7
160,Australia,Slovenia,6
88,Australia,Bangladesh,5
103,Australia,Czechia,5
104,Australia,Côte d'Ivoire,5
131,Australia,Lithuania,5
132,Australia,Luxembourg,5
137,Australia,Mongolia,5
110,Australia,Ethiopia,4
152,Australia,Rwanda,4
155,Australia,Senegal,4
157,Australia,Sierra Leone,4
96,Australia,Center for Astrophysics,3
105,Australia,Democratic Republic of the Congo,3
113,Australia,France [],3
129,Australia,Kazakhstan,3
171,Australia,Tunisia,3
175,Australia,UK [],3
114,Australia,Georgia,2
116,Australia,Germany [],2
118,Australia,Guinea,2
135,Australia,Mali,2
154,Australia,Scotland,2
176,Australia,US,2
91,Australia,Botswana,1
133,Australia,MO,1
149,Australia,Republic of Singapore,1
173,Australia,U.K,1
266,Austria,USA,294
210,Austria,Germany,272
265,Austria,UK,199
258,Austria,Switzerland,147
208,Austria,France,145
220,Austria,Italy,113
272,Austria,the Netherlands,113
257,Austria,Sweden,99
255,Austria,Spain,97
192,Austria,Canada,92
185,Austria,Australia,84
195,Austria,China,74
187,Austria,Belgium,71
221,Austria,Japan,71
202,Austria,Denmark,61
244,Austria,Russia,58
207,Austria,Finland,52
233,Austria,Norway,50
239,Austria,Poland,44
218,Austria,Ireland,43
199,Austria,Czech Republic,40
213,Austria,Hungary,39
219,Austria,Israel,36
240,Austria,Portugal,32
194,Austria,Chile,26
231,Austria,New Zealand,25
205,Austria,Estonia,24
189,Austria,Brazil,23
215,Austria,India,23
211,Austria,Greece,22
254,Austria,South Korea,21
253,Austria,South Africa,20
264,Austria,Turkey,20
250,Austria,Singapore,18
198,Austria,Croatia,17
228,Austria,Mexico,17
248,Austria,Serbia,17
214,Austria,Iceland,16
251,Austria,Slovakia,14
259,Austria,Taiwan,14
184,Austria,Argentina,13
243,Austria,Romania,13
196,Austria,Colombia,12
190,Austria,Bulgaria,10
200,Austria,Czechia,9
217,Austria,Iran,9
222,Austria,Kazakhstan,9
246,Austria,Saudi Arabia,9
252,Austria,Slovenia,9
238,Austria,Philippines,8
268,Austria,Ukraine,8
193,Austria,Center for Astrophysics,7
224,Austria,Lithuania,7
237,Austria,Peru,7
241,Austria,Qatar,7
269,Austria,United Arab Emirates,7
225,Austria,Luxembourg,6
229,Austria,Mongolia,6
232,Austria,Nigeria,6
260,Austria,Tanzania,6
271,Austria,Vietnam,6
226,Austria,Malaysia,5
188,Austria,Bolivia,4
197,Austria,Costa Rica,4
212,Austria,Hong Kong,4
216,Austria,Indonesia,4
223,Austria,Kenya,4
256,Austria,Sri Lanka,4
267,Austria,Uganda,4
270,Austria,Venezuela,4
191,Austria,Cameroon,3
201,Austria,Côte d'Ivoire,3
203,Austria,Ecuador,3
204,Austria,Egypt,3
235,Austria,Pakistan,3
236,Austria,Panama,3
261,Austria,Thailand,3
263,Austria,Tunisia,3
186,Austria,Bangladesh,2
209,Austria,Georgia,2
230,Austria,Morocco,2
262,Austria,The Philippines,2
206,Austria,Ethiopia,1
227,Austria,Massachusetts  USA,1
234,Austria,PR China,1
242,Austria,Republic of Singapore,1
245,Austria,Rwanda,1
247,Austria,Scotland,1
249,Austria,Sierra Leone,1
339,Bangladesh,USA,14
338,Bangladesh,UK,10
287,Bangladesh,Denmark,8
282,Bangladesh,China,7
293,Bangladesh,France,7
280,Bangladesh,Canada,6
295,Bangladesh,Germany,6
332,Bangladesh,Switzerland,6
274,Bangladesh,Australia,5
298,Bangladesh,India,5
302,Bangladesh,Italy,5
290,Bangladesh,Estonia,4
296,Bangladesh,Greece,4
299,Bangladesh,Indonesia,4
321,Bangladesh,Russia,4
325,Bangladesh,Singapore,4
327,Bangladesh,South Africa,4
329,Bangladesh,Spain,4
331,Bangladesh,Sweden,4
333,Bangladesh,Taiwan,4
345,Bangladesh,the Netherlands,4
278,Bangladesh,Brazil,3
283,Bangladesh,Colombia,3
292,Bangladesh,Finland,3
303,Bangladesh,Japan,3
306,Bangladesh,Malaysia,3
307,Bangladesh,Mexico,3
310,Bangladesh,New Zealand,3
313,Bangladesh,Pakistan,3
317,Bangladesh,Poland,3
330,Bangladesh,Sri Lanka,3
337,Bangladesh,Turkey,3
273,Bangladesh,Argentina,2
275,Bangladesh,Austria,2
281,Bangladesh,Chile,2
284,Bangladesh,Costa Rica,2
285,Bangladesh,Croatia,2
288,Bangladesh,Ecuador,2
297,Bangladesh,Iceland,2
305,Bangladesh,Kenya,2
312,Bangladesh,Norway,2
314,Bangladesh,Panama,2
315,Bangladesh,Peru,2
316,Bangladesh,Philippines,2
318,Bangladesh,Portugal,2
319,Bangladesh,Qatar,2
323,Bangladesh,Saudi Arabia,2
324,Bangladesh,Serbia,2
326,Bangladesh,Slovenia,2
328,Bangladesh,South Korea,2
341,Bangladesh,Ukraine,2
344,Bangladesh,Vietnam,2
276,Bangladesh,Bolivia,1
277,Bangladesh,Botswana,1
279,Bangladesh,Cameroon,1
286,Bangladesh,Côte d'Ivoire,1
289,Bangladesh,Egypt,1
291,Bangladesh,Ethiopia,1
294,Bangladesh,Georgia,1
300,Bangladesh,Iran,1
301,Bangladesh,Israel,1
304,Bangladesh,Kazakhstan,1
308,Bangladesh,Mongolia,1
309,Bangladesh,Morocco,1
311,Bangladesh,Nigeria,1
320,Bangladesh,Romania,1
322,Bangladesh,Rwanda,1
334,Bangladesh,Thailand,1
335,Bangladesh,The Philippines,1
336,Bangladesh,Tunisia,1
340,Bangladesh,Uganda,1
342,Bangladesh,United Arab Emirates,1
343,Bangladesh,Venezuela,1
433,Belgium,USA,356
430,Belgium,UK,246
374,Belgium,Germany,234
371,Belgium,France,203
439,Belgium,the Netherlands,134
423,Belgium,Switzerland,126
421,Belgium,Spain,116
385,Belgium,Italy,89
422,Belgium,Sweden,89
354,Belgium,Canada,88
357,Belgium,China,81
347,Belgium,Australia,80
348,Belgium,Austria,71
386,Belgium,Japan,64
365,Belgium,Denmark,57
370,Belgium,Finland,41
399,Belgium,Norway,39
405,Belgium,Poland,33
361,Belgium,Czech Republic,31
383,Belgium,Ireland,31
406,Belgium,Portugal,31
410,Belgium,Russia,31
384,Belgium,Israel,30
416,Belgium,Singapore,24
351,Belgium,Brazil,22
380,Belgium,India,22
419,Belgium,South Africa,21
368,Belgium,Estonia,20
378,Belgium,Hungary,19
397,Belgium,New Zealand,19
356,Belgium,Chile,18
420,Belgium,South Korea,16
375,Belgium,Greece,13
379,Belgium,Iceland,12
428,Belgium,Turkey,12
346,Belgium,Argentina,11
412,Belgium,Saudi Arabia,11
424,Belgium,Taiwan,11
436,Belgium,United Arab Emirates,11
353,Belgium,Cameroon,10
409,Belgium,Romania,10
417,Belgium,Slovakia,10
358,Belgium,Colombia,9
394,Belgium,Mexico,9
398,Belgium,Nigeria,9
352,Belgium,Bulgaria,8
360,Belgium,Croatia,8
382,Belgium,Iran,8
392,Belgium,Malaysia,8
414,Belgium,Serbia,8
355,Belgium,Center for Astrophysics,7
364,Belgium,Democratic Republic of the Congo,7
407,Belgium,Qatar,7
359,Belgium,Costa Rica,6
362,Belgium,Czechia,6
389,Belgium,Lithuania,6
390,Belgium,Luxembourg,6
396,Belgium,Morocco,6
418,Belgium,Slovenia,6
425,Belgium,Tanzania,6
434,Belgium,Uganda,6
435,Belgium,Ukraine,6
369,Belgium,Ethiopia,5
381,Belgium,Indonesia,5
395,Belgium,Mongolia,5
403,Belgium,Peru,5
404,Belgium,Philippines,5
415,Belgium,Sierra Leone,5
366,Belgium,Ecuador,4
376,Belgium,Guinea,4
387,Belgium,Kazakhstan,4
426,Belgium,Thailand,4
437,Belgium,Venezuela,4
438,Belgium,Vietnam,4
349,Belgium,Bolivia,3
363,Belgium,Côte d'Ivoire,3
388,Belgium,Kenya,3
402,Belgium,Panama,3
411,Belgium,Rwanda,3
413,Belgium,Senegal,3
367,Belgium,Egypt,2
373,Belgium,Georgia,2
377,Belgium,Hong Kong,2
350,Belgium,Botswana,1
372,Belgium,France [],1
391,Belgium,MO,1
393,Belgium,Massachusetts  USA,1
400,Belgium,PR China,1
401,Belgium,Pakistan,1
408,Belgium,Republic of Singapore,1
427,Belgium,The Philippines,1
429,Belgium,U.K,1
431,Belgium,UK [],1
432,Belgium,US,1
501,Bolivia,UK,12
502,Bolivia,USA,12
445,Bolivia,Brazil,10
441,Bolivia,Australia,9
451,Bolivia,Colombia,9
448,Bolivia,Canada,8
461,Bolivia,France,8
467,Bolivia,Italy,8
493,Bolivia,Spain,8
449,Bolivia,Chile,7
450,Bolivia,China,7
462,Bolivia,Germany,7
480,Bolivia,Peru,7
440,Bolivia,Argentina,6
458,Bolivia,Ecuador,6
464,Bolivia,India,6
473,Bolivia,Mexico,6
496,Bolivia,Switzerland,6
507,Bolivia,the Netherlands,6
505,Bolivia,Venezuela,5
442,Bolivia,Austria,4
447,Bolivia,Cameroon,4
452,Bolivia,Costa Rica,4
457,Bolivia,Denmark,4
468,Bolivia,Japan,4
472,Bolivia,Malaysia,4
477,Bolivia,Norway,4
479,Bolivia,Panama,4
485,Bolivia,Russia,4
495,Bolivia,Sweden,4
498,Bolivia,Tanzania,4
444,Bolivia,Belgium,3
454,Bolivia,Czech Republic,3
455,Bolivia,Côte d'Ivoire,3
459,Bolivia,Estonia,3
460,Bolivia,Finland,3
475,Bolivia,New Zealand,3
482,Bolivia,Poland,3
487,Bolivia,Serbia,3
491,Bolivia,South Africa,3
503,Bolivia,Uganda,3
506,Bolivia,Vietnam,3
465,Bolivia,Indonesia,2
474,Bolivia,Morocco,2
483,Bolivia,Portugal,2
484,Bolivia,Romania,2
489,Bolivia,Singapore,2
490,Bolivia,Slovakia,2
492,Bolivia,South Korea,2
499,Bolivia,Thailand,2
443,Bolivia,Bangladesh,1
446,Bolivia,Bulgaria,1
453,Bolivia,Croatia,1
456,Bolivia,Democratic Republic of the Congo,1
463,Bolivia,Hungary,1
466,Bolivia,Israel,1
469,Bolivia,Kenya,1
470,Bolivia,Lithuania,1
471,Bolivia,Luxembourg,1
476,Bolivia,Nigeria,1
478,Bolivia,Pakistan,1
481,Bolivia,Philippines,1
486,Bolivia,Saudi Arabia,1
488,Bolivia,Sierra Leone,1
494,Bolivia,Sri Lanka,1
497,Bolivia,Taiwan,1
500,Bolivia,Turkey,1
504,Bolivia,Ukraine,1
559,Botswana,UK,4
560,Botswana,USA,4
512,Botswana,Brazil,2
515,Botswana,China,2
522,Botswana,Ethiopia,2
549,Botswana,South Africa,2
554,Botswana,Switzerland,2
508,Botswana,Argentina,1
509,Botswana,Australia,1
510,Botswana,Bangladesh,1
511,Botswana,Belgium,1
513,Botswana,Cameroon,1
514,Botswana,Canada,1
516,Botswana,Colombia,1
517,Botswana,Croatia,1
518,Botswana,Denmark,1
519,Botswana,Ecuador,1
520,Botswana,Egypt,1
521,Botswana,Estonia,1
523,Botswana,Finland,1
524,Botswana,Germany,1
525,Botswana,Greece,1
526,Botswana,India,1
527,Botswana,Indonesia,1
528,Botswana,Iran,1
529,Botswana,Israel,1
530,Botswana,Italy,1
531,Botswana,Japan,1
532,Botswana,Kenya,1
533,Botswana,Malaysia,1
534,Botswana,Mexico,1
535,Botswana,New Zealand,1
536,Botswana,Nigeria,1
537,Botswana,Norway,1
538,Botswana,Pakistan,1
539,Botswana,Panama,1
540,Botswana,Peru,1
541,Botswana,Poland,1
542,Botswana,Portugal,1
543,Botswana,Qatar,1
544,Botswana,Romania,1
545,Botswana,Russia,1
546,Botswana,Saudi Arabia,1
547,Botswana,Serbia,1
548,Botswana,Singapore,1
550,Botswana,South Korea,1
551,Botswana,Spain,1
552,Botswana,Sri Lanka,1
553,Botswana,Sweden,1
555,Botswana,Taiwan,1
556,Botswana,Tanzania,1
557,Botswana,The Philippines,1
558,Botswana,Tunisia,1
561,Botswana,Uganda,1
562,Botswana,Ukraine,1
563,Botswana,United Arab Emirates,1
564,Botswana,Vietnam,1
565,Botswana,the Netherlands,1
648,Brazil,USA,179
646,Brazil,UK,118
594,Brazil,Germany,84
575,Brazil,Canada,70
567,Brazil,Australia,66
639,Brazil,Switzerland,61
592,Brazil,France,59
578,Brazil,China,53
636,Brazil,Spain,51
604,Brazil,Italy,49
605,Brazil,Japan,48
654,Brazil,the Netherlands,48
638,Brazil,Sweden,45
634,Brazil,South Africa,38
599,Brazil,India,34
566,Brazil,Argentina,33
586,Brazil,Denmark,32
610,Brazil,Mexico,27
579,Brazil,Colombia,26
577,Brazil,Chile,24
568,Brazil,Austria,23
603,Brazil,Israel,23
570,Brazil,Belgium,22
613,Brazil,New Zealand,22
631,Brazil,Singapore,22
635,Brazil,South Korea,19
591,Brazil,Finland,18
621,Brazil,Portugal,18
625,Brazil,Russia,18
602,Brazil,Ireland,17
615,Brazil,Norway,17
640,Brazil,Taiwan,17
582,Brazil,Czech Republic,16
608,Brazil,Malaysia,16
618,Brazil,Peru,15
620,Brazil,Poland,13
587,Brazil,Ecuador,12
600,Brazil,Indonesia,12
627,Brazil,Saudi Arabia,11
571,Brazil,Bolivia,10
606,Brazil,Kenya,10
652,Brazil,Venezuela,10
597,Brazil,Hungary,9
617,Brazil,Panama,9
642,Brazil,Thailand,9
589,Brazil,Estonia,8
601,Brazil,Iran,8
629,Brazil,Serbia,8
637,Brazil,Sri Lanka,8
651,Brazil,United Arab Emirates,8
653,Brazil,Vietnam,8
580,Brazil,Costa Rica,7
595,Brazil,Greece,7
645,Brazil,Turkey,7
574,Brazil,Cameroon,6
614,Brazil,Nigeria,6
624,Brazil,Romania,6
633,Brazil,Slovenia,6
641,Brazil,Tanzania,6
643,Brazil,The Philippines,6
573,Brazil,Bulgaria,5
584,Brazil,Côte d'Ivoire,5
612,Brazil,Morocco,5
622,Brazil,Qatar,5
632,Brazil,Slovakia,5
581,Brazil,Croatia,4
588,Brazil,Egypt,4
598,Brazil,Iceland,4
607,Brazil,Lithuania,4
616,Brazil,Pakistan,4
619,Brazil,Philippines,4
649,Brazil,Uganda,4
569,Brazil,Bangladesh,3
590,Brazil,Ethiopia,3
626,Brazil,Rwanda,3
650,Brazil,Ukraine,3
572,Brazil,Botswana,2
585,Brazil,Democratic Republic of the Congo,2
596,Brazil,Hong Kong,2
611,Brazil,Mongolia,2
628,Brazil,Senegal,2
644,Brazil,Tunisia,2
576,Brazil,Center for Astrophysics,1
583,Brazil,Czechia,1
593,Brazil,Georgia,1
609,Brazil,Mali,1
623,Brazil,Republic of Singapore,1
630,Brazil,Sierra Leone,1
647,Brazil,UK [],1
675,Bulgaria,Germany,29
719,Bulgaria,USA,24
718,Bulgaria,UK,22
673,Bulgaria,France,18
684,Bulgaria,Italy,18
711,Bulgaria,Spain,16
702,Bulgaria,Russia,13
713,Bulgaria,Switzerland,12
663,Bulgaria,China,11
672,Bulgaria,Finland,11
657,Bulgaria,Austria,10
661,Bulgaria,Canada,10
712,Bulgaria,Sweden,10
682,Bulgaria,Ireland,9
695,Bulgaria,Norway,9
656,Bulgaria,Australia,8
658,Bulgaria,Belgium,8
667,Bulgaria,Czech Republic,8
679,Bulgaria,India,8
685,Bulgaria,Japan,8
677,Bulgaria,Hungary,7
698,Bulgaria,Portugal,7
720,Bulgaria,Ukraine,7
723,Bulgaria,the Netherlands,7
669,Bulgaria,Denmark,6
671,Bulgaria,Estonia,6
697,Bulgaria,Poland,6
705,Bulgaria,Serbia,6
660,Bulgaria,Brazil,5
701,Bulgaria,Romania,5
706,Bulgaria,Singapore,5
714,Bulgaria,Taiwan,5
717,Bulgaria,Turkey,5
655,Bulgaria,Argentina,4
662,Bulgaria,Chile,4
666,Bulgaria,Croatia,4
710,Bulgaria,South Korea,4
664,Bulgaria,Colombia,3
670,Bulgaria,Egypt,3
676,Bulgaria,Greece,3
686,Bulgaria,Kazakhstan,3
689,Bulgaria,Luxembourg,3
692,Bulgaria,Morocco,3
708,Bulgaria,Slovenia,3
668,Bulgaria,Czechia,2
674,Bulgaria,Georgia,2
681,Bulgaria,Iran,2
683,Bulgaria,Israel,2
687,Bulgaria,Kenya,2
688,Bulgaria,Lithuania,2
690,Bulgaria,Mexico,2
707,Bulgaria,Slovakia,2
709,Bulgaria,South Africa,2
722,Bulgaria,Vietnam,2
659,Bulgaria,Bolivia,1
665,Bulgaria,Costa Rica,1
678,Bulgaria,Iceland,1
680,Bulgaria,Indonesia,1
691,Bulgaria,Mongolia,1
693,Bulgaria,New Zealand,1
694,Bulgaria,Nigeria,1
696,Bulgaria,Philippines,1
699,Bulgaria,Qatar,1
700,Bulgaria,Republic of Singapore,1
703,Bulgaria,Rwanda,1
704,Bulgaria,Senegal,1
715,Bulgaria,Tanzania,1
716,Bulgaria,Tunisia,1
721,Bulgaria,United Arab Emirates,1
788,Cameroon,USA,16
787,Cameroon,UK,15
747,Cameroon,France,12
728,Cameroon,Belgium,10
734,Cameroon,China,10
748,Cameroon,Germany,9
792,Cameroon,the Netherlands,9
725,Cameroon,Australia,8
732,Cameroon,Canada,8
778,Cameroon,Spain,8
735,Cameroon,Colombia,7
753,Cameroon,Italy,7
756,Cameroon,Malaysia,7
724,Cameroon,Argentina,6
731,Cameroon,Brazil,6
740,Cameroon,Democratic Republic of the Congo,6
751,Cameroon,Indonesia,6
754,Cameroon,Japan,6
776,Cameroon,South Africa,6
783,Cameroon,Tanzania,6
739,Cameroon,Côte d'Ivoire,5
741,Cameroon,Denmark,5
757,Cameroon,Mexico,5
763,Cameroon,Panama,5
774,Cameroon,Singapore,5
781,Cameroon,Switzerland,5
784,Cameroon,Thailand,5
789,Cameroon,Uganda,5
790,Cameroon,Venezuela,5
729,Cameroon,Bolivia,4
733,Cameroon,Chile,4
736,Cameroon,Costa Rica,4
738,Cameroon,Czech Republic,4
742,Cameroon,Ecuador,4
746,Cameroon,Finland,4
750,Cameroon,India,4
760,Cameroon,Nigeria,4
761,Cameroon,Norway,4
726,Cameroon,Austria,3
745,Cameroon,Ethiopia,3
759,Cameroon,New Zealand,3
764,Cameroon,Peru,3
766,Cameroon,Poland,3
769,Cameroon,Russia,3
772,Cameroon,Serbia,3
777,Cameroon,South Korea,3
780,Cameroon,Sweden,3
791,Cameroon,Vietnam,3
744,Cameroon,Estonia,2
758,Cameroon,Morocco,2
767,Cameroon,Portugal,2
768,Cameroon,Romania,2
773,Cameroon,Sierra Leone,2
775,Cameroon,Slovakia,2
779,Cameroon,Sri Lanka,2
782,Cameroon,Taiwan,2
786,Cameroon,Turkey,2
727,Cameroon,Bangladesh,1
730,Cameroon,Botswana,1
737,Cameroon,Croatia,1
743,Cameroon,Egypt,1
749,Cameroon,Hungary,1
752,Cameroon,Ireland,1
755,Cameroon,Kenya,1
762,Cameroon,Pakistan,1
765,Cameroon,Philippines,1
770,Cameroon,Rwanda,1
771,Cameroon,Saudi Arabia,1
785,Cameroon,The Philippines,1
884,Canada,USA,1010
882,Canada,UK,484
822,Canada,Germany,370
819,Canada,France,278
794,Canada,Australia,230
805,Canada,China,220
890,Canada,the Netherlands,205
871,Canada,Spain,188
874,Canada,Switzerland,187
834,Canada,Italy,172
835,Canada,Japan,150
873,Canada,Sweden,144
813,Canada,Denmark,112
795,Canada,Austria,92
848,Canada,Norway,90
797,Canada,Belgium,88
859,Canada,Russia,79
818,Canada,Finland,72
833,Canada,Israel,72
800,Canada,Brazil,70
829,Canada,India,68
832,Canada,Ireland,62
870,Canada,South Korea,59
869,Canada,South Africa,53
853,Canada,Poland,51
804,Canada,Chile,49
809,Canada,Czech Republic,49
866,Canada,Singapore,49
846,Canada,New Zealand,45
843,Canada,Mexico,43
875,Canada,Taiwan,38
854,Canada,Portugal,37
793,Canada,Argentina,36
816,Canada,Estonia,33
824,Canada,Greece,33
827,Canada,Hungary,30
861,Canada,Saudi Arabia,28
806,Canada,Colombia,27
828,Canada,Iceland,24
841,Canada,Malaysia,23
887,Canada,United Arab Emirates,20
808,Canada,Croatia,19
855,Canada,Qatar,18
880,Canada,Turkey,18
858,Canada,Romania,17
864,Canada,Serbia,17
830,Canada,Indonesia,15
831,Canada,Iran,15
837,Canada,Kenya,15
803,Canada,Center for Astrophysics,13
851,Canada,Peru,13
852,Canada,Philippines,12
826,Canada,Hong Kong,11
847,Canada,Nigeria,11
867,Canada,Slovakia,11
876,Canada,Tanzania,11
889,Canada,Vietnam,11
801,Canada,Bulgaria,10
815,Canada,Egypt,10
850,Canada,Panama,10
872,Canada,Sri Lanka,10
877,Canada,Thailand,10
888,Canada,Venezuela,10
807,Canada,Costa Rica,9
814,Canada,Ecuador,9
838,Canada,Lithuania,9
844,Canada,Mongolia,9
849,Canada,Pakistan,9
885,Canada,Uganda,9
886,Canada,Ukraine,9
798,Canada,Bolivia,8
802,Canada,Cameroon,8
845,Canada,Morocco,8
868,Canada,Slovenia,8
796,Canada,Bangladesh,6
878,Canada,The Philippines,6
820,Canada,France [],5
810,Canada,Czechia,4
811,Canada,Côte d'Ivoire,4
817,Canada,Ethiopia,4
823,Canada,Germany [],4
836,Canada,Kazakhstan,4
839,Canada,Luxembourg,4
883,Canada,UK [],4
812,Canada,Democratic Republic of the Congo,3
842,Canada,Massachusetts  USA,3
863,Canada,Senegal,3
865,Canada,Sierra Leone,3
879,Canada,Tunisia,3
860,Canada,Rwanda,2
862,Canada,Scotland,2
881,Canada,U.K,2
799,Canada,Botswana,1
821,Canada,Georgia,1
825,Canada,Guinea,1
840,Canada,MO,1
856,Canada,ROC,1
857,Canada,Republic of Singapore,1
919,Center for Astrophysics,USA,20
902,Center for Astrophysics,Germany,19
918,Center for Astrophysics,UK,15
915,Center for Astrophysics,Spain,14
896,Center for Astrophysics,Canada,13
901,Center for Astrophysics,France,13
908,Center for Astrophysics,Italy,10
921,Center for Astrophysics,the Netherlands,9
917,Center for Astrophysics,Switzerland,8
893,Center for Astrophysics,Austria,7
894,Center for Astrophysics,Belgium,7
897,Center for Astrophysics,Chile,7
905,Center for Astrophysics,India,6
906,Center for Astrophysics,Ireland,6
920,Center for Astrophysics,United Arab Emirates,6
898,Center for Astrophysics,China,4
899,Center for Astrophysics,Denmark,4
916,Center for Astrophysics,Sweden,4
892,Center for Astrophysics,Australia,3
909,Center for Astrophysics,Japan,3
911,Center for Astrophysics,Mexico,2
914,Center for Astrophysics,South Korea,2
891,Center for Astrophysics,Argentina,1
895,Center for Astrophysics,Brazil,1
900,Center for Astrophysics,Finland,1
903,Center for Astrophysics,Greece,1
904,Center for Astrophysics,Hungary,1
907,Center for Astrophysics,Israel,1
910,Center for Astrophysics,Malaysia,1
912,Center for Astrophysics,Portugal,1
913,Center for Astrophysics,ROC,1
1000,Chile,USA,144
999,Chile,UK,94
947,Chile,Germany,82
945,Chile,France,72
923,Chile,Australia,49
931,Chile,Canada,49
933,Chile,China,49
989,Chile,Spain,46
957,Chile,Italy,45
1006,Chile,the Netherlands,42
992,Chile,Switzerland,39
958,Chile,Japan,32
991,Chile,Sweden,29
924,Chile,Austria,26
922,Chile,Argentina,25
964,Chile,Mexico,25
928,Chile,Brazil,24
952,Chile,India,24
987,Chile,South Africa,24
940,Chile,Denmark,23
969,Chile,Norway,20
926,Chile,Belgium,18
956,Chile,Israel,18
967,Chile,New Zealand,18
988,Chile,South Korea,18
934,Chile,Colombia,17
974,Chile,Poland,17
979,Chile,Russia,17
937,Chile,Czech Republic,15
975,Chile,Portugal,14
944,Chile,Finland,13
955,Chile,Ireland,13
972,Chile,Peru,12
998,Chile,Turkey,10
941,Chile,Ecuador,9
950,Chile,Hungary,8
984,Chile,Singapore,8
1003,Chile,United Arab Emirates,8
1004,Chile,Venezuela,8
